case_index,family,exact_dup,norm_dup,max_5gram_overlap
0,log_prompt_injection,False,False,0.0
1,log_prompt_injection,False,False,0.0
2,log_prompt_injection,False,False,0.0
3,log_prompt_injection,False,False,0.0
4,log_prompt_injection,False,False,0.0
5,command_injection,False,False,0.0
6,command_injection,False,False,0.0
7,command_injection,False,False,0.0
8,command_injection,False,False,0.0
9,command_injection,False,False,0.0
10,malformed_alert,False,False,0.0
11,malformed_alert,False,False,0.0
12,malformed_alert,False,False,0.0
13,malformed_alert,False,False,0.0
14,malformed_alert,False,False,0.0
15,conflicting_telemetry,False,False,0.0
16,conflicting_telemetry,False,False,0.0
17,conflicting_telemetry,False,False,0.0
18,conflicting_telemetry,False,False,0.0
19,conflicting_telemetry,False,False,0.0
20,memory_poisoning,False,False,0.0
21,memory_poisoning,False,False,0.0
22,memory_poisoning,False,False,0.0
23,memory_poisoning,False,False,0.0
24,memory_poisoning,False,False,0.0
25,ood_attack,False,False,0.0
26,ood_attack,False,False,0.0
27,ood_attack,False,False,0.0
28,ood_attack,False,False,0.0
29,ood_attack,False,False,0.0
30,role_play_prompt_injection,False,False,0.0
31,role_play_prompt_injection,False,False,0.0
32,role_play_prompt_injection,False,False,0.0
33,role_play_prompt_injection,False,False,0.0
34,role_play_prompt_injection,False,False,0.0
35,encoded_prompt_injection,False,False,0.0
36,encoded_prompt_injection,False,False,0.0
37,encoded_prompt_injection,False,False,0.0
38,encoded_prompt_injection,False,False,0.0
39,encoded_prompt_injection,False,False,0.0
40,tool_call_spoofing,False,False,0.0
41,tool_call_spoofing,False,False,0.0
42,tool_call_spoofing,False,False,0.0
43,tool_call_spoofing,False,False,0.0
44,tool_call_spoofing,False,False,0.0
45,missing_field,False,False,0.0
46,missing_field,False,False,0.0
47,missing_field,False,False,0.0
48,missing_field,False,False,0.0
49,missing_field,False,False,0.0
50,wrong_type_field,False,False,0.0
51,wrong_type_field,False,False,0.0
52,wrong_type_field,False,False,0.0
53,wrong_type_field,False,False,0.0
54,wrong_type_field,False,False,0.0
55,multi_turn_memory_poisoning,False,False,0.0
56,multi_turn_memory_poisoning,False,False,0.0
57,multi_turn_memory_poisoning,False,False,0.0
58,multi_turn_memory_poisoning,False,False,0.0
59,multi_turn_memory_poisoning,False,False,0.0
60,benign_but_suspicious,False,False,0.0
61,benign_but_suspicious,False,False,0.0
62,benign_but_suspicious,False,False,0.0
63,benign_but_suspicious,False,False,0.0
64,benign_but_suspicious,False,False,0.0
65,adaptive_jailbreak,False,False,0.0
66,adaptive_jailbreak,False,False,0.0
67,adaptive_jailbreak,False,False,0.0
68,adaptive_jailbreak,False,False,0.0
69,adaptive_jailbreak,False,False,0.0
